k,log_Wk,emptyclus,iter
1,14.199118,0,3
2,12.960757,0,8
3,11.961563,0,9
4,11.268208,0,9
5,11.010304,0,4
6,10.613325,7,7
7,10.333125,8,8
8,10.082577,119,14
9,9.785168,159,8
10,9.575132,220,9
11,9.329046,1273,10
12,9.102911,3496,8
13,8.938338,20564,10
14,8.812463,25414,10
15,8.669822,30904,15
16,8.508952,38046,7
17,8.340597,46253,10
18,8.138629,55234,8
19,8.015830,66840,13
20,7.885981,159860,12
