centroid,counts,dispersion
-9.838358,171,7.626485
-6.602253,446,48.767049
1.303883,946,77.500375
-5.156060,1383,151.828028
0.261842,2091,35.714862
-2.599872,2251,15.335147
-4.105811,3205,69.001694
-1.593884,3079,52.856394
-3.168215,1524,45.967772
-2.178950,2043,25.865551
3.132349,77,0.018901
-0.812891,1043,52.416815
