centroid,counts,dispersion
4.588015,653,0.101998
4.847371,581,0.405318
3.776314,566,0.152507
3.675538,313,0.144481
4.322328,1606,0.285298
4.083882,1850,0.879687
4.255475,968,0.375053
3.856461,4114,0.890118
4.407238,652,0.544443
5.002657,187,0.260278
4.720608,429,0.232499
5.422888,136,0.025157
3.952484,729,0.570241
4.515066,1476,0.608295
3.559566,321,0.447304
4.632228,1228,0.194237
3.033987,64,0.000000
3.399140,48,0.059923
4.172447,2447,0.697867
