centroid,counts,dispersion
0.831083,0.206852,1307,11.629166
0.492171,0.685615,1052,5.965484
0.514442,0.224528,1326,6.800315
0.686985,0.288093,2996,9.661650
0.281188,0.744350,683,8.159388
0.484056,0.072613,4803,11.747870
0.646999,0.092725,2441,6.342149
0.589813,0.439525,1312,7.216682
0.319142,0.442084,886,11.276115
0.695095,0.691895,875,10.436973
0.204376,0.104075,916,5.456190
