centroid,counts,dispersion
0.662159,1674,0.021032
0.510816,478,0.012693
0.546394,2956,0.083060
0.702442,644,0.042803
0.642381,1768,0.114847
0.490165,683,0.017939
0.316413,720,0.097388
0.574617,1385,0.031417
0.747398,782,0.098251
0.405836,421,0.040807
0.598576,989,0.036873
0.679964,2304,0.015377
0.375475,441,0.038770
0.870250,123,0.034865
0.455309,876,0.115368
0.193973,15,0.000000
0.802305,880,0.089075
