k,log_Wk,emptyclus,iter
1,11.206650,0,3
2,10.309711,0,8
3,9.517273,1,10
4,9.017246,3,6
5,8.598869,67,13
6,8.156820,104,7
7,7.807322,655,6
8,7.550234,868,9
9,7.247874,1172,8
10,6.901066,3216,11
11,6.627084,20490,9
12,6.368014,26636,6
13,6.047470,33701,5
14,5.859510,42838,5
15,5.658980,533790,7
16,5.535291,668732,10
17,5.402192,1673886,11
18,5.248552,2094203,6
19,5.114371,2614485,8
20,4.985768,3270552,11
