centroid,counts,dispersion
-2.195084,1977,19.273902
-4.062276,2775,10.879226
1.146251,691,13.648457
0.267302,2069,29.852470
-9.838358,171,7.626485
-4.624906,899,25.730127
-1.658526,2607,12.658287
-3.478809,366,5.432584
-2.601535,2217,13.681828
-3.090501,1204,11.250082
3.132349,77,0.018901
-0.692881,798,21.683567
-1.275005,832,12.055593
1.731034,255,0.155462
-5.386944,875,20.767505
-6.602253,446,48.767049
