centroid,counts,dispersion
4.315604,2469,2.646326
3.855855,4168,1.006490
4.720608,429,0.232499
3.546100,399,1.850830
4.847371,581,0.405318
5.422888,136,0.025157
4.083882,1850,0.879687
5.002657,187,0.260278
3.952484,729,0.570241
3.033987,64,0.000000
4.498355,1873,2.870316
4.180662,2826,1.967952
4.617533,1862,1.050766
3.739618,795,1.763960
