centroid,counts,dispersion
0.281188,0.744350,683,8.159388
0.831083,0.206852,1307,11.629166
0.699964,0.680543,928,12.774447
0.492171,0.685615,1052,5.965484
0.484451,0.094607,5477,21.314960
0.640363,0.085023,2666,9.332119
0.204376,0.104075,916,5.456190
0.315069,0.441867,860,10.806099
0.685583,0.288108,3053,10.352069
0.565106,0.407084,1655,11.866306
