k,log_Wk,emptyclus,iter
1,5.446468,0,3
2,4.430307,0,8
3,3.661508,1,7
4,3.004177,0,13
5,2.430734,0,8
6,2.206869,5,15
7,1.948303,12,9
8,1.619487,129,18
9,1.264463,203,8
10,1.006879,248,13
11,0.805962,315,5
12,0.630154,410,7
13,0.467751,463,9
14,0.308717,5903,7
15,0.152058,7569,6
16,0.010432,46162,8
17,-0.115899,56114,10
18,-0.249161,136931,10
19,-0.379792,167426,9
20,-0.507731,202627,7
