centroid,counts,dispersion
3.132349,77,0.018901
1.303883,946,77.500375
-6.602253,446,48.767049
-3.162158,1504,41.763068
-4.624906,899,25.730127
0.267302,2069,29.852470
-5.386944,875,20.767505
-1.658526,2607,12.658287
-2.195084,1977,19.273902
-4.054715,2834,18.679057
-2.602372,2224,14.175924
-1.275005,832,12.055593
-0.692881,798,21.683567
-9.838358,171,7.626485
